SMILES,valid,MolWt,QED,LogP,target_query
C/C=C/NC(=O)C1=CC=C(C=C1)C,True,175.231,0.7335140649214138,2.25842,EGFR inhibitor
C1=CC=C(C=C1)C[C@H1](C)[NH3+1],True,136.21799999999996,0.6242517967075476,0.8595000000000002,EGFR inhibitor
C(C(=O)[O-1])NC(=O)[C@@H1](C(=O)O)[NH3+1],True,176.128,0.37120208310622116,-4.4524,EGFR inhibitor
CCSC[NH2+1]C,True,106.21400000000001,0.39213659671724505,-0.10980000000000006,EGFR inhibitor
C(C[NH1+1]CCC(=O)[O-1])C(=O)[O-1],True,159.141,0.39574264739427795,-4.384399999999998,EGFR inhibitor
C[C@H1][C@H1](C(=O)[O-1])[NH3+1],True,102.113,0.4209908092627932,-2.429009999999999,EGFR inhibitor
C[NH1+1]CCOCC[NH2+1]C,True,133.215,0.3769346730195269,-2.824799999999997,EGFR inhibitor
C1=CC=C(C=C1)C(=[NH2+1])N,True,121.163,0.3688699104988422,-0.849,EGFR inhibitor
C1=CC(=CC(=C1)[S-1])C(=O)[O-1],True,152.17399999999998,0.5298303781358171,-0.04410000000000003,EGFR inhibitor
C[C@H1]1[C@H1]CO[C@H1](O1)O[NH3+1],True,133.147,0.4706735510752581,-0.9169099999999997,EGFR inhibitor
C1=CC(=CN=C1)NC(=O)/C=C/C2=CC=C(C=C2)Br,True,303.159,0.881872500631637,3.496000000000002,EGFR inhibitor
CCCCC(=O)[O-1],True,101.12499999999999,0.4987673823665796,-0.07350000000000012,EGFR inhibitor
CC1=CC=C(C=C1)P(CP(=O)(C)C)CP(C)C,True,288.248,0.7347191156116271,4.381420000000004,EGFR inhibitor
C/C1=C\CC2=CC=CC=C21,True,130.18999999999997,0.5061403767927674,2.646000000000001,EGFR inhibitor
COC1=C(C=C(C=C1)OCC=O)[O-1],True,181.16699999999994,0.6285311062416973,0.3464999999999996,EGFR inhibitor
C(=NCC1=CC=CC=C1)CNC(=O)NC2=CC=CC=[NH1+1]2,True,269.328,0.7996858857701166,1.8931999999999998,EGFR inhibitor
CCCC[C@@H1](CC(=O)[O-1])[NH3+1],True,145.202,0.534777444076064,-1.0728999999999986,EGFR inhibitor
CC[NH1+1](CC[NH3+1])C[NH3+1],True,120.22000000000001,0.3202573418560852,-3.6674999999999978,EGFR inhibitor
CCC1NCC[C@@H1]([NH2+1]1)C(=O)[O-1],True,158.201,0.46273334120788323,-2.602299999999998,EGFR inhibitor
CC=NCO[C@H1](CO)Br,True,196.04399999999998,0.5323833189495475,0.7645,EGFR inhibitor
C[NH1+1](C)CC[N+1](C)(C)C,True,132.251,0.4619331909756292,-1.1628999999999976,EGFR inhibitor
C1[C@@H1]([NH2+1]C1)N,True,73.119,0.3502324723717576,-1.7616999999999994,EGFR inhibitor
C#CC(=O)[O-1],True,69.039,0.3202527763517478,-1.6305,EGFR inhibitor
C1=CN=CC2=C1N=C(C=N2)SCC(=O)[O-1],True,220.23299999999998,0.6701259590205525,-0.1332000000000002,EGFR inhibitor
C1C[C@@H1](C[NH2+1]1)C(=O)[O-1],True,115.13199999999999,0.4046380743912872,-2.680399999999999,EGFR inhibitor
CC1[NH1+1](CC[NH1+1]1C)CC(=O)[O-1],True,159.209,0.42649565915772153,-4.5044999999999975,EGFR inhibitor
